type,center,touches,first_date,last_date,score,score_final,distance_pct
support,45857.4,2,2021-12-13,2021-12-31,20,36,29.319407492911015
resistance,45079.04,2,2021-09-24,2022-03-02,20,36,30.51910363756417
resistance,43489.65,2,2022-01-20,2024-01-16,20,36,32.96885061242193
resistance,44323.19,2,2022-01-13,2023-12-22,20,36,31.68410483358669
resistance,88612.84,2,2025-03-24,2025-04-02,20,36,36.58009470523568
resistance,82611.19,2,2026-05-06,2026-05-10,20,36,27.329675404966363
support,89246.99,2,2025-01-13,2026-01-08,20,36,37.55751814700018
support,81354.62,2,2025-03-04,2025-03-18,20,36,25.392908119280015
support,86207.75,2,2025-12-24,2026-01-25,20,36,32.873098969915446
resistance,52535.14,1,2021-03-03,2021-03-03,10,33,19.026922096698225
support,57501.34,1,2024-09-16,2024-09-16,10,33,11.372455020311316
support,52598.7,1,2024-09-06,2024-09-06,10,33,18.928956262181867
support,76029.23,1,2026-05-18,2026-05-18,10,33,17.18481693811129
resistance,75988.4,1,2026-03-17,2026-03-17,10,33,17.121885141017156
support,74958.57,1,2026-04-29,2026-04-29,10,33,15.534595094447257
support,73775.57,1,2026-04-20,2026-04-20,10,33,13.711222183294721
resistance,58330.57,1,2021-02-21,2021-02-21,10,33,10.094352299165903
resistance,51956.33,1,2021-12-27,2021-12-27,10,33,19.919049294250378
support,55604.02,1,2021-04-07,2021-04-07,10,33,14.296818411509902
resistance,74051.8,1,2026-03-04,2026-03-04,10,33,14.136978987392487
support,58206.92,1,2021-10-28,2021-10-28,10,33,10.284935613167606
support,56555.29,1,2024-05-01,2024-05-01,10,33,12.830613889792167
resistance,72715.36,1,2024-04-08,2024-04-08,10,33,12.077107057231288
support,56161.59,1,2024-08-15,2024-08-15,10,33,13.437428695473287
support,76624.25,1,2025-03-11,2025-03-11,10,33,18.10192881435304
resistance,11701.28,2,2018-03-05,2020-10-12,20,26,81.96466865780985
resistance,13116.26,2,2018-01-20,2019-07-10,20,26,79.78374202905026
resistance,11930.42,2,2018-02-20,2020-08-06,20,26,81.6114922682397
support,9841.58,2,2019-08-22,2019-09-19,20,26,84.83104786564618
support,7180.43,2,2019-12-04,2019-12-27,20,26,88.93271212812596
resistance,2767.86,2,2017-05-25,2017-06-21,20,26,95.73386226047113
support,4001.63,2,2017-09-05,2019-03-21,20,26,93.83223690409525
resistance,4477.47,2,2017-08-17,2017-10-02,20,26,93.09881867413513
resistance,2899.07,2,2017-07-20,2017-07-28,20,26,95.53162662254017
resistance,2918.74,2,2017-07-07,2017-08-01,20,26,95.50130900194645
resistance,2998.58,2,2017-06-06,2017-06-12,20,26,95.37825059685227
resistance,18335.97,2,2017-12-08,2022-12-14,20,26,71.73853677286091
support,9182.59,2,2017-11-30,2019-07-17,20,26,85.84675751460681
support,22816.54,2,2022-08-10,2023-02-25,20,26,64.83257737765996
support,20816.77,2,2022-07-26,2022-08-20,20,26,67.91484825385227
resistance,20373.42,2,2022-09-27,2022-10-06,20,26,68.59818923454498
support,18305.07,2,2022-09-21,2022-10-13,20,26,71.78616333495272
resistance,17239.02,2,2022-12-01,2022-12-09,20,26,73.42927972712022
support,19614.52,2,2022-08-29,2023-03-10,20,26,69.76789143426912
resistance,97883.25,2,2025-05-02,2026-01-14,20,26,50.86869527098173
support,8492.12,2,2018-03-09,2020-03-01,20,26,86.91098768701887
resistance,8383.94,2,2018-04-16,2020-01-08,20,26,87.0777268937209
resistance,7522.44,2,2018-04-03,2019-12-29,20,26,88.4055677753421
support,8723.38,2,2018-04-26,2020-05-25,20,26,86.55454371454793
support,5831.08,2,2018-06-24,2018-06-29,20,26,91.01248240510284
resistance,6606.73,2,2018-08-18,2018-09-14,20,26,89.81696321783704
resistance,6889.21,2,2018-07-08,2020-03-25,20,26,89.38157320943266
support,31170.89,2,2021-05-23,2021-06-08,20,26,51.95591171385
resistance,35928.71,2,2021-07-04,2023-11-02,20,26,44.62262337560845
resistance,38410.8,2,2021-01-29,2023-11-24,20,26,40.79694656323093
support,30615.55,2,2021-01-11,2021-05-19,20,26,52.81186430259002
resistance,19867.56,2,2020-12-01,2022-10-14,20,26,69.37787767143055
resistance,9445.49,2,2020-04-30,2020-07-08,20,26,85.44154640865413
resistance,21794.32,2,2022-06-26,2022-08-26,20,26,66.40813803466618
resistance,31753.9,2,2022-06-06,2023-07-13,20,26,51.05731100300381
resistance,3955.87,2,2018-12-29,2019-01-02,20,26,93.90276737274642
support,3395.92,2,2019-01-29,2019-02-08,20,26,94.76582541298299
support,6202.93,2,2018-09-08,2018-09-19,20,26,90.4393452816776
resistance,6549.65,2,2018-11-01,2018-11-07,20,26,89.90494134612831
resistance,8308.76,2,2019-05-16,2019-10-21,20,26,87.19360278168408
support,7548.84,2,2019-05-23,2019-06-04,20,26,88.36487712035105
support,7397.5,2,2018-03-18,2018-06-05,20,26,88.59813938271269
resistance,23900.26,2,2023-01-29,2023-03-01,20,26,63.16222599027685
resistance,28463.25,2,2023-05-29,2023-10-02,20,26,56.12923160324396
resistance,28771.29,2,2023-03-22,2023-04-05,20,26,55.65444564250733
support,26582.5,2,2023-03-27,2023-10-12,20,26,59.028055443184904
support,27246.14,2,2023-04-03,2023-10-06,20,26,58.00517869022017
resistance,37945.58,2,2023-11-09,2023-11-15,20,26,41.513996052433285
support,29578.35,2,2023-06-30,2023-07-18,20,26,54.410513823678286
support,34502.52,2,2022-02-24,2023-11-07,20,26,46.82082811961237
support,26382.8,2,2022-05-12,2023-05-18,20,26,59.33585558718926
support,38609.04,2,2022-04-18,2024-01-23,20,26,40.491396735752595
support,100625.64,2,2025-05-12,2025-06-05,20,26,55.09557577632037
resistance,117644.59,2,2025-08-22,2025-09-18,20,26,81.32709936571972
resistance,116521.35,2,2025-09-12,2025-10-27,20,26,79.59583530086515
resistance,120044.88,2,2025-07-22,2025-07-28,20,26,85.02669680013251
support,107385.37,2,2025-07-08,2025-09-01,20,26,65.5144333999088
support,102979.07,2,2025-05-31,2025-06-13,20,26,58.72294729812402
support,114610.44,2,2025-07-25,2025-09-15,20,26,76.65052547022229
support,93394.35,2,2025-02-18,2025-05-06,20,26,43.94989674108098
support,92086.98,2,2024-12-05,2024-12-20,20,26,41.9348307707906
resistance,109015.13,2,2025-01-20,2025-06-16,20,26,68.02640316802375
resistance,106616.17,2,2025-01-30,2025-06-03,20,26,64.32885567948739
resistance,98756.32,2,2024-11-29,2025-02-14,20,26,52.21436914041534
support,94211.23,2,2024-12-10,2025-02-12,20,26,45.20896425051653
resistance,93201.72,2,2024-11-13,2025-11-28,20,26,43.652993677788224
support,106530.03,2,2025-05-25,2025-10-30,20,26,64.19608700445217
resistance,86429.35,1,2025-04-15,2025-04-15,10,23,33.21465386181013
resistance,87443.27,1,2025-03-20,2025-03-20,10,23,34.777421623497176
resistance,85263.29,1,2025-03-14,2025-03-14,10,23,31.417390787610174
support,78248.91,1,2025-02-28,2025-02-28,10,23,20.60603788775379
resistance,42893.58,1,2022-04-21,2022-04-21,10,23,33.887580866987186
support,39373.06,1,2022-04-11,2022-04-11,10,23,39.31380301506049
support,44403.14,1,2022-04-01,2022-04-01,10,23,31.560876884096718
resistance,45661.17,1,2022-02-10,2022-02-10,10,23,29.621859281884362
resistance,41295.27,1,2021-06-15,2021-06-15,10,23,36.35107635103132
support,40234.58,1,2023-12-11,2023-12-11,10,23,37.98593130718548
support,40530.26,1,2023-12-18,2023-12-18,10,23,37.530195971285586
resistance,39478.95,1,2021-06-03,2021-06-03,10,23,39.15059341441642
support,41424.06,1,2023-12-29,2023-12-29,10,23,36.152570689807874
support,50856.57,1,2021-03-25,2021-03-25,10,23,21.614123337165942
resistance,45899.71,1,2024-01-02,2024-01-02,10,23,29.25419455303708
resistance,41946.74,1,2021-01-08,2021-01-08,10,23,35.3469573734924
support,49121.24,1,2024-08-05,2024-08-05,10,23,24.288809485864448
support,45579.81,1,2021-12-20,2021-12-20,10,23,29.747260482265908
support,80659.81,1,2025-11-21,2025-11-21,10,23,24.321988649797436
support,83862.25,1,2025-12-01,2025-12-01,10,23,29.25795005773601
support,42874.62,1,2021-12-04,2021-12-04,10,23,33.91680415557167
support,87799.56,1,2025-12-07,2025-12-07,10,23,35.32657592148071
support,84436.31,1,2025-12-18,2025-12-18,10,23,30.142756020015142
support,47159.48,1,2021-04-25,2021-04-25,10,23,27.312495066745758
support,79205.52,1,2026-05-08,2026-05-08,10,23,22.08047301923107
support,43591.32,1,2021-09-13,2021-09-13,10,23,32.812145351325675
resistance,49644.11,1,2021-08-29,2021-08-29,10,23,23.48290332013805
resistance,50482.08,1,2021-08-23,2021-08-23,10,23,22.191329526090296
support,43998.32,1,2021-08-19,2021-08-19,10,23,32.18483108688012
support,50561.78,1,2024-02-23,2024-02-23,10,23,22.068486904772584
support,42264.82,1,2024-02-05,2024-02-05,10,23,34.85669663335765
support,87231.57,1,2026-01-21,2026-01-21,10,23,34.45112572722415
support,16054.53,1,2022-11-28,2022-11-28,10,13,75.25494919417946
resistance,17378.15,1,2022-12-05,2022-12-05,10,13,73.21483689269193
resistance,16771.47,1,2022-11-24,2022-11-24,10,13,74.14992047488808
support,15599.05,1,2022-11-21,2022-11-21,10,13,75.9569862977904
support,15872.94,1,2022-11-14,2022-11-14,10,13,75.53483616538502
support,27680.79,1,2023-05-01,2023-05-01,10,13,57.33524712992224
resistance,27646.35,1,2023-05-15,2023-05-15,10,13,57.38832993893331
support,24797.17,1,2023-06-15,2023-06-15,10,13,61.77980722633617
support,29777.29,1,2023-07-07,2023-07-07,10,13,54.10388507731761
resistance,30330.64,1,2023-07-23,2023-07-23,10,13,53.25099970082881
resistance,30176.8,1,2023-08-08,2023-08-08,10,13,53.48811524491308
resistance,29660.25,1,2023-08-14,2023-08-14,10,13,54.28428031444464
resistance,22673.82,1,2022-09-13,2022-09-13,10,13,65.05255352464194
resistance,20542.64,1,2022-08-30,2022-08-30,10,13,68.33736830130303
support,16750.56,1,2022-12-07,2022-12-07,10,13,74.18214932321622
support,18553.3,1,2022-09-28,2022-09-28,10,13,71.40356328614848
resistance,19666.99,1,2022-10-18,2022-10-18,10,13,69.68701875747439
resistance,20988.39,1,2022-10-29,2022-10-29,10,13,67.65032817015658
support,20086.24,1,2022-11-03,2022-11-03,10,13,69.0408234125879
resistance,21446.89,1,2022-11-05,2022-11-05,10,13,66.94363630222469
support,15682.69,1,2022-11-09,2022-11-09,10,13,75.82807090447781
resistance,26786.9,1,2023-08-23,2023-08-23,10,13,58.71301112954197
support,33184.06,1,2022-01-24,2022-01-24,10,13,48.852987247624355
support,37458.0,1,2021-08-05,2021-08-05,10,13,42.26550929336292
resistance,34592.16,1,2021-07-12,2021-07-12,10,13,46.68266485016544
support,32133.18,1,2021-07-08,2021-07-08,10,13,50.47272192629888
support,32770.68,1,2021-07-02,2021-07-02,10,13,49.49013508702607
resistance,36542.11,1,2021-06-29,2021-06-29,10,13,43.67718217214187
support,30184.5,1,2021-06-26,2021-06-26,10,13,53.47624713720735
resistance,35487.25,1,2021-06-25,2021-06-25,10,13,45.30305127531884
support,22485.7,1,2022-08-04,2022-08-04,10,13,65.34250526770705
resistance,24572.58,1,2022-07-30,2022-07-30,10,13,62.125970643171115
resistance,29820.13,1,2023-05-06,2023-05-06,10,13,54.03785524171846
resistance,22314.94,1,2022-07-08,2022-07-08,10,13,65.60569982249015
resistance,21620.63,1,2022-06-21,2022-06-21,10,13,66.6758486356282
support,17708.62,1,2022-06-18,2022-06-18,10,13,72.70547928833982
resistance,32249.86,1,2022-05-31,2022-05-31,10,13,50.2928815617399
support,28261.91,1,2022-05-26,2022-05-26,10,13,56.439559500058365
support,37884.98,1,2022-04-26,2022-04-26,10,13,41.60739960139004
support,37680.73,1,2022-03-14,2022-03-14,10,13,41.92221271812961
support,37260.2,1,2022-03-07,2022-03-07,10,13,42.57038094325809
support,36375.54,1,2022-02-03,2022-02-03,10,13,43.93391862675782
support,20541.54,1,2023-01-18,2023-01-18,10,13,68.33906374526099
support,16899.39,1,2022-12-12,2022-12-12,10,13,73.9527557557041
support,18999.95,1,2022-07-13,2022-07-13,10,13,70.7151359735819
support,903.71,1,2017-03-25,2017-03-25,10,13,98.60710030977374
resistance,1122.43,1,2017-03-21,2017-03-21,10,13,98.26998439842355
resistance,1191.1,1,2017-01-05,2017-01-05,10,13,98.16414245606612
support,97795.94,1,2025-01-27,2025-01-27,10,13,50.73412326010032
support,99471.36,1,2025-01-20,2025-01-20,10,13,53.316469365597506
resistance,102712.48,1,2025-01-07,2025-01-07,10,13,58.31204874834872
support,91317.13,1,2024-12-30,2024-12-30,10,13,40.74825119712131
resistance,108268.45,1,2024-12-17,2024-12-17,10,13,66.87553580935985
resistance,103900.47,1,2024-12-05,2024-12-05,10,13,60.143112809819655
support,891.69,1,2017-01-25,2017-01-25,10,13,98.6256268882962
resistance,937.53,1,2017-01-22,2017-01-22,10,13,98.5549731146299
support,755.76,1,2017-01-12,2017-01-12,10,13,98.83513752211948
support,823.56,1,2017-01-07,2017-01-07,10,13,98.73063652180154
resistance,95768.39,1,2025-04-25,2025-04-25,10,13,47.60903471740603
support,957.66,1,2017-03-18,2017-03-18,10,13,98.5239464901992
support,103598.43,1,2025-10-17,2025-10-17,10,13,59.677574725217355
support,104582.41,1,2025-10-10,2025-10-10,10,13,61.19419558499409
resistance,126198.07,1,2025-10-06,2025-10-06,10,13,94.5106866253013
support,108713.4,1,2025-09-25,2025-09-25,10,13,67.56134289035504
resistance,113357.49,1,2025-09-05,2025-09-05,10,13,74.71933773647034
resistance,124457.12,1,2025-08-14,2025-08-14,10,13,91.82733829929029
support,111943.8,1,2025-08-03,2025-08-03,10,13,72.54039940107961
support,115765.69,1,2025-07-15,2025-07-15,10,13,78.43112695425354
resistance,123091.61,1,2025-07-14,2025-07-14,10,13,89.72266040925825
support,105157.4,1,2025-07-02,2025-07-02,10,13,62.08043496807405
support,98286.2,1,2025-06-22,2025-06-22,10,13,51.48976721903661
resistance,111970.17,1,2025-05-22,2025-05-22,10,13,72.58104381669
support,102112.69,1,2025-05-19,2025-05-19,10,13,57.38758481058021
resistance,105747.45,1,2025-05-12,2025-05-12,10,13,62.98988652025119
support,92860.8,1,2025-04-28,2025-04-28,10,13,43.127529355835456
support,27070.85,1,2023-04-24,2023-04-24,10,13,58.275355391484695
resistance,31005.61,1,2023-04-14,2023-04-14,10,13,52.21065987509708
resistance,29159.9,1,2023-03-30,2023-03-30,10,13,55.055476118413516
support,26760.0,1,2023-03-22,2023-03-22,10,13,58.75447244087756
support,21460.09,1,2023-02-13,2023-02-13,10,13,66.92329097472916
resistance,23722.1,1,2023-01-25,2023-01-25,10,13,63.43682625895896
resistance,23282.35,1,2023-01-21,2023-01-21,10,13,64.11461851397107
resistance,38825.41,1,2022-01-26,2022-01-26,10,13,40.157902909221676
resistance,1257.98,1,2017-03-16,2017-03-16,10,13,98.06105946342208
support,1077.25,1,2017-03-10,2017-03-10,10,13,98.33962090571508
resistance,1280.31,1,2017-03-03,2017-03-03,10,13,98.02664195107549
resistance,1200.39,1,2017-02-24,2017-02-24,10,13,98.14982366118478
support,946.69,1,2017-02-10,2017-02-10,10,13,98.54085469039813
resistance,1088.99,1,2017-02-09,2017-02-09,10,13,98.32152589474556
resistance,1208.07,1,2017-04-11,2017-04-11,10,13,98.13798637973285
support,35670.97,1,2023-11-22,2023-11-22,10,13,45.01988130808559
support,34948.5,1,2023-11-14,2023-11-14,10,13,46.133433486547446
resistance,35150.43,1,2023-10-24,2023-10-24,10,13,45.822196215246485
resistance,29448.14,1,2023-10-16,2023-10-16,10,13,54.611208148920184
resistance,28252.54,1,2023-10-06,2023-10-06,10,13,56.454001599954815
support,24930.3,1,2023-09-11,2023-09-11,10,13,61.574612268042216
resistance,26414.01,1,2023-09-08,2023-09-08,10,13,59.287751218163855
resistance,28089.34,1,2023-08-29,2023-08-29,10,13,56.70554383080867
support,1661.91,1,2017-05-17,2017-05-17,10,13,97.43847702893194
support,1651.08,1,2017-05-13,2017-05-13,10,13,97.45516944535441
resistance,1873.93,1,2017-05-11,2017-05-11,10,13,97.11168791259843
support,1203.94,1,2017-04-23,2017-04-23,10,13,98.14435200113864
resistance,1240.79,1,2017-04-20,2017-04-20,10,13,98.08755462854694
support,1156.44,1,2017-04-13,2017-04-13,10,13,98.21756435386877
support,36750.13,1,2023-11-27,2023-11-27,10,13,43.356558306564565
support,5519.01,1,2017-11-12,2017-11-12,10,13,91.49347985597636
