Date,Open,High,Low,Close
2017-12-31,963.6580200195312,20089.0,755.7559814453125,14156.400390625
2018-12-31,14112.2001953125,17712.400390625,3191.303466796875,3742.700439453125
2019-12-31,3746.71337890625,13796.4892578125,3391.023681640625,7193.59912109375
2020-12-31,7194.89208984375,29244.876953125,4106.98095703125,29001.720703125
2021-12-31,28994.009765625,68789.625,28722.755859375,46306.4453125
2022-12-31,46311.74609375,48086.8359375,15599.046875,16547.49609375
2023-12-31,16547.9140625,44705.515625,16521.234375,42265.1875
2024-12-31,42280.234375,108268.4453125,38521.89453125,93429.203125
2025-12-31,93425.1015625,126198.0703125,74436.6796875,87508.828125
2026-12-31,87508.046875,97860.6015625,60074.203125,71319.7734375
