type,center,touches,first_date,last_date,score,score_final,distance_pct
support,93394.35,2,2025-02-18,2025-05-06,20,36,30.95155172056839
resistance,93201.72,2,2024-11-13,2025-11-28,20,36,30.681458321899903
resistance,98756.32,2,2024-11-29,2025-02-14,20,36,38.46976124586768
support,92086.98,2,2024-12-05,2024-12-20,20,36,29.11844157875659
support,94211.23,2,2024-12-10,2025-02-12,20,36,32.09692832600005
support,86207.75,2,2025-12-24,2026-01-25,20,36,20.874963344558086
support,89246.99,2,2025-01-13,2026-01-08,20,36,25.13639023013758
resistance,88612.84,2,2025-03-24,2025-04-02,20,36,24.247225880007196
resistance,43489.65,2,2022-01-20,2024-01-16,20,36,39.021609430501776
resistance,44686.37,2,2022-02-15,2023-12-08,20,36,37.34364560319275
support,57501.34,1,2024-09-16,2024-09-16,10,33,19.37531875309388
resistance,59815.06,1,2024-09-03,2024-09-03,10,33,16.131169355973885
resistance,61683.86,1,2021-03-13,2021-03-13,10,33,13.510858171674206
resistance,60267.19,1,2021-04-02,2021-04-02,10,33,15.497221744802317
support,84436.31,1,2025-12-18,2025-12-18,10,33,18.391164091392515
support,63062.22,1,2026-02-28,2026-02-28,10,33,11.57821041696996
resistance,58330.57,1,2021-02-21,2021-02-21,10,33,18.212625771845577
support,79205.52,1,2026-05-08,2026-05-08,10,33,11.056886726386699
support,80659.81,1,2025-11-21,2025-11-21,10,33,13.095998644310047
support,83862.25,1,2025-12-01,2025-12-01,10,33,17.586254075093787
support,58206.92,1,2021-10-28,2021-10-28,10,33,18.385999850365835
support,59323.91,1,2024-03-05,2024-03-05,10,33,16.819828301911794
support,58601.7,1,2024-06-24,2024-06-24,10,33,17.832464721225307
support,63473.47,1,2024-07-25,2024-07-25,10,33,11.001582112954953
resistance,85263.29,1,2025-03-14,2025-03-14,10,33,19.550702267330085
support,58895.21,1,2024-10-10,2024-10-10,10,33,17.42092387378106
resistance,11930.42,2,2018-02-20,2020-08-06,20,26,83.27193227772234
resistance,11701.28,2,2018-03-05,2020-10-12,20,26,83.5932176505661
support,7180.43,2,2019-12-04,2019-12-27,20,26,89.93206280121954
resistance,2998.58,2,2017-06-06,2017-06-12,20,26,95.79558395172447
resistance,2767.86,2,2017-05-25,2017-06-21,20,26,96.1190846989642
support,9182.59,2,2017-11-30,2019-07-17,20,26,87.12476280081425
support,4001.63,2,2017-09-05,2019-03-21,20,26,94.38917174420531
resistance,4477.47,2,2017-08-17,2017-10-02,20,26,93.72197949573723
resistance,2899.07,2,2017-07-20,2017-07-28,20,26,95.93511047459991
resistance,2918.74,2,2017-07-07,2017-08-01,20,26,95.90753046550576
resistance,13116.26,2,2018-01-20,2019-07-10,20,26,81.60922368676026
resistance,18335.97,2,2017-12-08,2022-12-14,20,26,74.2904819852401
support,27246.14,2,2023-04-03,2023-10-06,20,26,61.79721459171945
resistance,28463.25,2,2023-05-29,2023-10-02,20,26,60.09066121761683
support,29578.35,2,2023-06-30,2023-07-18,20,26,58.527139705623796
support,26582.5,2,2023-03-27,2023-10-12,20,26,62.72772792345565
resistance,23900.26,2,2023-01-29,2023-03-01,20,26,66.48859236640085
resistance,28771.29,2,2023-03-22,2023-04-05,20,26,59.658747338543805
support,20816.77,2,2022-07-26,2022-08-20,20,26,70.81206375642448
support,22816.54,2,2022-08-10,2023-02-25,20,26,68.00811486032701
support,19614.52,2,2022-08-29,2023-03-10,20,26,72.49778139411941
support,18305.07,2,2022-09-21,2022-10-13,20,26,74.33380797817401
resistance,17239.02,2,2022-12-01,2022-12-09,20,26,75.82855473439332
resistance,20373.42,2,2022-09-27,2022-10-06,20,26,71.43370061620577
resistance,35928.71,2,2021-07-04,2023-11-02,20,26,49.62307328207432
resistance,42503.68,2,2021-08-01,2022-03-09,20,26,40.40407316037332
resistance,40747.98,2,2021-05-26,2022-04-26,20,26,42.86580279772078
support,31170.89,2,2021-05-23,2021-06-08,20,26,56.29418252805285
resistance,38410.8,2,2021-01-29,2023-11-24,20,26,46.14284629821388
resistance,39934.68,2,2021-01-14,2022-05-04,20,26,44.006159757369176
support,30615.55,2,2021-01-11,2021-05-19,20,26,57.07284456416638
resistance,19867.56,2,2020-12-01,2022-10-14,20,26,72.14298497819735
resistance,9445.49,2,2020-04-30,2020-07-08,20,26,86.75614132695274
resistance,21794.32,2,2022-06-26,2022-08-26,20,26,69.44140600909351
resistance,6606.73,2,2018-08-18,2018-09-14,20,26,90.73646804866857
support,6202.93,2,2018-09-08,2018-09-19,20,26,91.30265044176585
resistance,6549.65,2,2018-11-01,2018-11-07,20,26,90.81650195406232
resistance,3955.87,2,2018-12-29,2019-01-02,20,26,94.4533334735469
support,3395.92,2,2019-01-29,2019-02-08,20,26,95.23845935520818
resistance,8308.76,2,2019-05-16,2019-10-21,20,26,88.34999103399949
support,5831.08,2,2018-06-24,2018-06-29,20,26,91.82403459945091
resistance,6889.21,2,2018-07-08,2020-03-25,20,26,90.34039275792533
support,7548.84,2,2019-05-23,2019-06-04,20,26,89.41550199032066
support,9841.58,2,2019-08-22,2019-09-19,20,26,86.20076940005352
support,8492.12,2,2018-03-09,2020-03-01,20,26,88.09289543321118
support,39792.09,2,2021-09-21,2022-01-10,20,26,44.20609028592724
resistance,37945.58,2,2023-11-09,2023-11-15,20,26,46.79514786561537
support,26382.8,2,2022-05-12,2023-05-18,20,26,63.007734421478254
support,38609.04,2,2022-04-18,2024-01-23,20,26,45.864886918304016
support,40821.6,2,2021-09-29,2024-01-03,20,26,42.76257756795401
support,34502.52,2,2022-02-24,2023-11-07,20,26,51.622785187006016
resistance,31753.9,2,2022-06-06,2023-07-13,20,26,55.47672339729591
support,7397.5,2,2018-03-18,2018-06-05,20,26,89.62770120619818
resistance,7522.44,2,2018-04-03,2019-12-29,20,26,89.45251837263312
resistance,8383.94,2,2018-04-16,2020-01-08,20,26,88.24457847255061
support,8723.38,2,2018-04-26,2020-05-25,20,26,87.76863753269689
support,100625.64,2,2025-05-12,2025-06-05,20,26,41.090801540728044
support,106530.03,2,2025-05-25,2025-10-30,20,26,49.369557508978865
resistance,106616.17,2,2025-01-30,2025-06-03,20,26,49.49033747763018
resistance,109015.13,2,2025-01-20,2025-06-16,20,26,52.85400492127721
resistance,116521.35,2,2025-09-12,2025-10-27,20,26,63.378743907693035
resistance,117644.59,2,2025-08-22,2025-09-18,20,26,64.95367880423238
support,114610.44,2,2025-07-25,2025-09-15,20,26,60.69938878933361
resistance,120044.88,2,2025-07-22,2025-07-28,20,26,68.31921108835198
support,107385.37,2,2025-07-08,2025-09-01,20,26,50.568860253188454
support,102979.07,2,2025-05-31,2025-06-13,20,26,44.39062974624303
support,52598.7,1,2024-09-06,2024-09-06,10,23,26.249485290227305
support,56161.59,1,2024-08-15,2024-08-15,10,23,21.253830048666163
support,49121.24,1,2024-08-05,2024-08-05,10,23,31.125356079479626
support,56555.29,1,2024-05-01,2024-05-01,10,23,20.701809226074772
support,50561.78,1,2024-02-23,2024-02-23,10,23,29.105523527344
resistance,45899.71,1,2024-01-02,2024-01-02,10,23,35.64237828065521
resistance,42893.58,1,2022-04-21,2022-04-21,10,23,39.85738045341782
support,44403.14,1,2022-04-01,2022-04-01,10,23,37.74077249570623
resistance,45661.17,1,2022-02-10,2022-02-10,10,23,35.976843729019315
resistance,51956.33,1,2021-12-27,2021-12-27,10,23,27.150175195759502
support,45579.81,1,2021-12-20,2021-12-20,10,23,36.09092148905496
support,42874.62,1,2021-12-04,2021-12-04,10,23,39.883964946169485
support,43591.32,1,2021-09-13,2021-09-13,10,23,38.879054294528025
resistance,49644.11,1,2021-08-29,2021-08-29,10,23,30.392221389339014
resistance,50482.08,1,2021-08-23,2021-08-23,10,23,29.217273742128185
support,43998.32,1,2021-08-19,2021-08-19,10,23,38.30838506721105
support,47159.48,1,2021-04-25,2021-04-25,10,23,33.87600979786132
support,55604.02,1,2021-04-07,2021-04-07,10,23,22.035618847376547
support,50856.57,1,2021-03-25,2021-03-25,10,23,28.692187946211885
resistance,52535.14,1,2021-03-03,2021-03-03,10,23,26.33860503491592
support,98286.2,1,2025-06-22,2025-06-22,10,23,37.81058921356728
support,92860.8,1,2025-04-28,2025-04-28,10,23,30.20344222121955
resistance,95768.39,1,2025-04-25,2025-04-25,10,23,34.28027794272955
resistance,86429.35,1,2025-04-15,2025-04-15,10,23,21.185676614271713
resistance,87443.27,1,2025-03-20,2025-03-20,10,23,22.607330036780873
support,97795.94,1,2025-01-27,2025-01-27,10,23,37.12317816839672
support,99471.36,1,2025-01-20,2025-01-20,10,23,39.47234435225768
support,91317.13,1,2024-12-30,2024-12-30,10,23,28.039007414997446
support,87231.57,1,2026-01-21,2026-01-21,10,23,22.310497910434428
support,87799.56,1,2025-12-07,2025-12-07,10,23,23.10689696307267
resistance,94060.77,1,2025-12-03,2025-12-03,10,23,31.885962989532953
support,98962.06,1,2025-11-04,2025-11-04,10,23,38.75823664347994
resistance,107428.26,1,2025-11-11,2025-11-11,10,13,50.62899785308925
support,1855.83,1,2017-05-27,2017-05-27,10,13,97.397874515647
support,2212.96,1,2017-06-15,2017-06-15,10,13,96.89712979537252
support,2332.99,1,2017-06-27,2017-06-27,10,13,96.7288314480633
support,2394.84,1,2017-07-02,2017-07-02,10,13,96.64210935541084
support,1843.03,1,2017-07-16,2017-07-16,10,13,97.41582185252578
support,2450.8,1,2017-07-26,2017-07-26,10,13,96.56364584199399
support,3674.58,1,2017-08-22,2017-08-22,10,13,94.84774022281469
resistance,4455.7,1,2017-08-25,2017-08-25,10,13,93.75250398978807
support,4224.64,1,2017-08-28,2017-08-28,10,13,94.07648146316365
resistance,4975.04,1,2017-09-02,2017-09-02,10,13,93.02431883864607
resistance,4661.0,1,2017-09-08,2017-09-08,10,13,93.464645531881
resistance,103900.47,1,2024-12-05,2024-12-05,10,13,45.68255757437536
resistance,108268.45,1,2024-12-17,2024-12-17,10,13,51.80705824153999
resistance,102712.48,1,2025-01-07,2025-01-07,10,13,44.01683439167192
resistance,105747.45,1,2025-05-12,2025-05-12,10,13,48.272274157839504
support,102112.69,1,2025-05-19,2025-05-19,10,13,43.1758474239755
resistance,111970.17,1,2025-05-22,2025-05-22,10,13,56.99737198145106
support,105157.4,1,2025-07-02,2025-07-02,10,13,47.44494399179925
resistance,123091.61,1,2025-07-14,2025-07-14,10,13,72.59113997027691
support,6236.47,1,2018-10-12,2018-10-12,10,13,91.25562281060071
resistance,6965.06,1,2018-10-15,2018-10-15,10,13,90.2340407655617
support,5358.38,1,2018-11-15,2018-11-15,10,13,92.48682414184091
support,3585.06,1,2018-11-25,2018-11-25,10,13,94.97325941011057
resistance,4413.02,1,2018-11-29,2018-11-29,10,13,93.8123471411932
support,3280.23,1,2018-12-07,2018-12-07,10,13,95.40067243360696
support,3191.3,1,2018-12-15,2018-12-15,10,13,95.52536436084355
resistance,4271.79,1,2018-12-24,2018-12-24,10,13,94.0103707652079
support,3642.63,1,2018-12-28,2018-12-28,10,13,94.89253845822691
support,3707.23,1,2019-01-01,2019-01-01,10,13,94.80196049241691
resistance,3727.84,1,2019-01-14,2019-01-14,10,13,94.77306247577071
resistance,3758.53,1,2019-01-19,2019-01-19,10,13,94.7300309313325
resistance,3654.93,1,2019-01-26,2019-01-26,10,13,94.87529218919501
resistance,3523.29,1,2019-02-02,2019-02-02,10,13,95.05986933190755
resistance,3695.61,1,2019-02-08,2019-02-08,10,13,94.81825330917715
support,3607.7,1,2019-02-14,2019-02-14,10,13,94.94151505800625
resistance,4010.88,1,2019-02-19,2019-02-19,10,13,94.37620198903902
