Date,Open,High,Low,Close,Volume,PP,R1,S1,R2,S2,R3,S3
2017-01-01,963.6580200195312,1003.0800170898438,958.698974609375,998.3250122070312,147775008,,,,,,,
2017-01-02,998.6170043945312,1031.3900146484375,996.7020263671876,1021.75,222184992,986.7013346354166,1014.7036946614583,970.3226521809895,1031.0823771158853,942.3202921549479,1059.084737141927,925.9416097005208
2017-01-03,1021.5999755859376,1044.0799560546875,1021.5999755859376,1043.8399658203125,185168000,1016.614013671875,1036.5260009765625,1001.8380126953125,1051.302001953125,981.9260253906251,1071.2139892578123,967.1500244140626
2017-01-04,1044.4000244140625,1159.4200439453125,1044.4000244140625,1154.72998046875,344945984,1036.5066324869792,1051.413289388021,1028.933308919271,1058.986612955729,1014.0266520182294,1073.8932698567708,1006.4533284505211
2017-01-05,1156.72998046875,1191.0999755859375,910.4169921875,1013.3800048828124,510199008,1119.5166829427083,1194.633341471354,1079.613321940104,1234.5367024739583,1004.4966634114583,1309.653361002604,964.593302408854
2017-01-06,1014.239990234375,1046.81005859375,883.9439697265625,902.2009887695312,351876000,1038.2989908854167,1166.1809895833335,885.498006184896,1318.9819742838542,757.6160074869792,1446.863972981771,604.8150227864585
2017-01-07,903.4869995117188,908.5850219726562,823.5560302734375,908.5850219726562,279550016,944.3183390299479,1004.6927083333333,841.8266194661458,1107.1844278971353,781.4522501627604,1167.5587972005208,678.9605305989583
2017-01-08,908.1749877929688,942.7239990234376,887.2490234375,911.198974609375,158715008,880.2420247395834,936.9280192057292,851.8990275065105,965.2710164388021,795.2130330403646,1021.957010904948,766.8700358072917
2017-01-09,913.2440185546876,913.6859741210938,879.8070068359375,902.8280029296876,141876992,913.7239990234375,940.198974609375,884.7239990234374,969.1989746093751,858.2490234374999,995.6739501953126,829.2490234374998
2017-01-10,902.4400024414062,914.8729858398438,901.0599975585938,907.6790161132812,115808000,898.7736612955729,917.7403157552083,883.861348470052,932.6526285807291,864.8946940104166,951.6192830403645,849.9823811848958
2017-01-11,908.114990234375,919.447998046875,762.7650146484375,777.7570190429688,310928992,907.8706665039062,914.6813354492188,900.8683471679688,921.6836547851562,894.0576782226562,928.4943237304688,887.0553588867188
