zone_type,zone_low,zone_high,position_vs_price,distance_to_zone_pct,levels_inside,total_touches,avg_score
resistance,68507.26,70768.59,below_price,0.77,5,10,66.0
resistance,71891.94,74345.96,above_price,0.8,6,11,63.83
resistance,63806.56,67082.18,below_price,5.94,8,21,62.88
resistance,78137.37,78137.37,above_price,9.56,1,3,69.0
support,59741.79,60108.04,below_price,15.72,2,7,65.5
